1695177795# #看到有网友说，五百年后，放张伍佰的照片，这演唱会还能开允悲
1688778947# #？？？
1687498779# #发布了头条文章：《一口反式脂肪酸要代谢51天？0反式脂肪酸的航天员能量餐了解一下》反式脂肪酸反式脂肪酸是孩子肥胖的重要原因
1694401587# #一天就赚两根眉笔钱苦涩
1691998258# #……
1698642821# #不忍看泪
1688368980# #因为服务员喊了她一声阿姨，就要餐厅赔偿她2000块！。。最近广东广州出现了一起奇葩事件，一顾客因为服务员上菜时喊了她两声阿姨，她就要餐厅赔偿她2000元钱。。。我还想着是一位小姑娘被喊了阿姨气性这么大呢，结果是一名50多岁的大妈。。。服务员是个20多岁的小姑娘，喊50岁的大妈阿姨很正常吧，毕竟差不多
1698819543# #有用
1699507448# #拼夕夕存在的意义苦涩
1703582502# #发布了头条文章：《航天员竟不能打呼噜，连打嗝都是技术活，能量早餐为你揭秘》
1688355306# #太好了，这都是他应得的
1689648567# #这种，很有可能是某种底下产业链
1695781918# #看他爸这个德行这孩子算是废了，现在因为未成年逃脱了以后还是得进去
1692855683# #怒
1688019649# #转发微博
1689586079# #哈哈哈哈哈哈哈哈哈哈
1692783404# #一对男女强行闯进他人宠物店，还喂小猫吃电影票的后续来了。。店主将监控视频发到网上谴责这对男女，谁知视频不知被谁举报了，说涉嫌虐待动物，强行将店主的视频进行了下架。。随后店主又发布了一条带小猫去医院拍CT检查，看病的视频，还爆料自己遭到了对方的威胁。。对方加了男主的微信，刚开始态度还好
1703835010# #别骂了
1687144621# #班主任暗示初三学生弃考情况属实。说实话，暗示弃考这种事，在我上学的时候就已经有了。。。学校为了升学率，会使出各种方法让学习不行的学生退学，或者劝说他们去学艺术，根本不管学生喜不喜欢、擅不擅长，学习艺术后有没有发展。。。甚至选文理科，老师也会横插一脚。你若相关成绩稍差，达不到老师满意
1700126471# #发布了头条文章：《亮亮丽君夫妇遭殴打后续，当地警方账号已沦陷，官方回应来了》亮亮丽君夫妇称被融创销售抢手机警方回应亮亮丽君夫妇维权被抢手机
1703236013# #神十七首次舱外维修成功，历时7.5小时，高体力运动怎没太空早餐
1697594550# #这么明显看不出来吗，眼白颜色都对不上呀允悲
1694155349# #清华？？大学？？？
