1702782518# #董宇辉若想创业俞敏洪愿意投资董宇辉单干会成为类似李佳琦一样的带货主播？
1688434227# #【打新必读】盘古智能：集中润滑系统(创业板)；。建议谨慎申购；公司不足4亿营收，达到56亿市值上市，不可谓不高啊！破发概率大。。。行业可比公司：。叶片公司：中材科技（002080.SZ）、时代新材（600458.SH）。齿轮箱公司：中国高速传动（00658.HK）、杭齿前进（601177.SH）。变流器公司：禾望电气（
1703807007# #今天用支付宝打车5折打工人2023最后一个工作日赶紧打车去上班。
1692675997# #北上资金5日净流出254亿，10日净卖出561亿，这算是恶意做空A股吗？
1692675841# #妈妈偷走录取通知书阻挠女儿入学女孩入学前妈妈带录取通知书跑了：希望我一辈子留重庆当老师，幸亏中央戏剧学院说她能直接去报道，给学校一个赞！。这种妈你恨她吗？
1703897154# #男朋友让我给他住院的妈妈做饭《这么好的一个表现机会》《我妈的事比你的事重要的嘛》《我看你就是懒》微笑。这种家庭女人永远就是伺候大老爷的。。谁家女儿愿意去。。。
1693453818# #文心一言获批向全社会开放关于。A股今日为何大跌？。房地产个股大跌原因？。看看文心一言对答，只能说，不敢恭维。。互相抄袭，天下无敌。
1694572244# #今日真是个变盘日，不是向上，而是向下，才一个小时，A股主力资金撤离195亿。罕见啊！！！看来今日A股沪指要破了3100这个遮羞布了。。活跃资本市场这是要让A股又跌出一个股灾？
1688086985# #【打新必读】誉辰智能：非标自动化智能装配设备、测试设备(科创板)；。建议谨慎申购；定价偏高！（当然，高价股，也不排除市场来一次炒作！！！）。行业可比公司：。。先导智能（300450）、赢合科技（300457）、杭可科技（688006）、利元亨（688499）、大族激光（002008）、海目星（688559）、联赢激光（6
1697854067# #中国流浪狗数量高达4000万只爱流量狗人士，可以领回家了。
1702617865# #每天下午都要来一波癫痫。希望今天有神秘两点半。
1697503072# #德国外长贝尔伯克抵达以色列，到废墟打卡，她代表德国表示：今天我们都是以色列人。。德国网友评论：上个月我们是乌克兰人，现在我们是以色列人，下个月我们是哪里人？。以军称在空袭行动中打死一哈马斯高级领导人
1688515303# #【暖风吹】L3+商业化推广、网联标准制定、强化购置税减免等政策均在路上。。特斯拉、比亚迪、理想等核心车型近2个月销量超出预期。。小作文传闻特斯拉FSDBeta即将进入中国。。无人驾驶相关龙头股：浙江世宝、光庭信息、得润电子、天龙股份等。今日看盘昨日涨停多，今日能否持续，不一定，还是强者恒强
1701733053# #京东方A(sz000725)超话三张图，道琼斯指数，中信证券200亿债券，A股永远3000点个股炒的是东西南北中发白，打麻将呢？。a股的问题是投资者普遍赚不到钱
1693954693# #人人公益节真正累死你的，不是工作，而是工作心态。。不良的工作心态，就像一把勺子，会慢慢掏空你的内在。。。心态对了，工作才能不累了。
1700098333# #大批艺人已停播不少明星艺人由于不善带货和品质问题，出现人设翻车、直播翻车。。内娱的归宿是直播间带货，主旋律中打酱油。
1690700559# #卡努不要再来福建了，昨日受到台风杜苏芮影响福建动车限速50KM/H。
1701073348# #官方通报女子多次被要求提供不同材料官方通报女子在政务服务中心发火：不存在“一次性告知”不到位的情况。。这种新闻，不敢乱评价。。。。自己去体验一次就知道了。
1693983093# #雨哥看盘超话A股主力资金下午尾盘跑路为主。
1700201763# #高盛预测2024年经济增长，中国，印度，美国。
1700472969# #港剧职场女性TVB职场剧那种狠辣的职业观TVB骂人方式找个男人嫁了吧好高级的骂人方式。女人想搞事业就能搞事业，不需要一个出轨/渣到极致的老公逼到绝境，也不需要白月光处处帮扶；女性在职场没有任何优待，也不会有任何金手指。
1701755528# #杨鸣离婚杨鸣唐佳良各自安好重新生活，我赌不知道杨鸣是谁，就来蹭流量咯！杨鸣思思又是怎么回事？。贵圈真乱。。。
1688352027# #中国从韩国进口了什么？。中国从越南进口了什么？
1701649660# #美商务部长呼吁阻止中国获得半导体关键技术可以关注中美关系半导体芯片股
1697078137# #厦门超话目前不宜投资房产，除非您刚需。
1689229268# #淄博烧烤小饼机器开工一周被甩卖一窝蜂上马的项目和投资，最后都是收割站岗的投资客。
1691126756# #下午开盘才10分钟主力资金买入证券个股15亿。
1700707971# #主播涉赌上亿被斗鱼评为年度十佳加油，争取全部拿下。。平台的标准就是谁贡献的钱多对吧！
1698039632# #【宠物狗未拴绳被车撞，司机要赔偿吗？】。北京市房山区人民法院审理的一起宠物狗未拴绳被撞死亡，宠物所有人向司机索赔4000余元的民事案件。。法院经审理认为，从原告宠物所有人提交的《道路交通事故认定书》以及事发时道路录像来看，被告司机驾驶机动车行驶时，视线区域内看不到原告的宠物狗，不存在明
1701229432# #雨哥看盘超话现在低于市场20%抛出的房子背后80%至少是一个经济上的悲伤故事吧，有承接或砍价，还是好的。就怕明年上半年是没承接了，突然再跌20%。如何看待科目三爆火
1693874848# #鸿蒙之父王成录说：明年推出鸿蒙PC版系统，这是要和微软开始竞争了，全世界敢这么干的，仅此一家。。美国芯片巨头高通宣布接入华为鸿蒙系统，接下来安卓、IOS、鸿蒙将会三足鼎立。
1699597106# #事后诸葛亮
1696137163# #国羽女团0比3韩国。韩国天才少女安洗莹估计要一统羽毛球女单很多年，现在中国男女羽毛球好像都不行啊！
1693376921# #苹果iPhone15系列价格你不买，我不买，马上降五百。
1692166190# #运动1小时1周1个月会发生的变化停一周那才叫变化大啊
1701315382# #不要过份在意一些人，如果有人问起，就说忘了。不解释，不悲伤。
1694243744# #华为mate60华为Mate60Pro（12GB+512GB）备件价格为：。全新屏1999元，活动价为1399元（更换下来的原装旧件将无偿回收）。电池249元。主板3499元。后壳1099元。长焦镜头845元。后置主摄镜头698元。广角镜头265元。TOF深感镜头244元。前置镜头270元。适配器199元。数据线59元。卡托12元
1688692047# #村民花13万私自建桥收费被判2年这个新闻挺有意思的，村民肯定是有错的。
1703649139# #财商新星【今日热钱在屠“龙”】今天A股市场的走势，资金面上并未出现较大的变化，仅仅是主力资金观望了，北向资金流入了。。沪指还是在处于缩量震荡的结构中，唯一让散户开心的，大盘在证券拉动下红盘，站上2900整数点位了，但是今日跌停板的数量突然多了起来，炒高位股的朋友肯定是非常的担心的。。
1690774158# #iPhone15价格将上涨没钱，不买。
1700809575# #大多数中国在泰乞讨者系正规渠道入境这样的产业链太可怕了吧！。不要想着出国赚快钱啊！
1688951345# #【打新必读】苏州规划：规划设计与工程设计(创业板)；。建议申购；公司作为城市设计规划类公司，行业基本上已经过了高光时刻。公司上市发行市值23亿，符合资金炒作。。。行业可比公司：。新城市、蕾奥规划、启迪设计、中衡设计。。个股解析点赞富三代
1696833787# #A股证金抄底了，加油加油！！！。重磅好消息！！！
1692153341# #印度不再从中国进口手机印度不再从中国进口手机：每年1.8亿支的订单没了。今年上半年中国对印度手机元件设备出口17.4亿美元，同比下降52%；手机整机对印出口3亿美元，同比下降24%。。A股半导体元器件个股麻烦了。。。
1689830020# #A股数据要素板块拉升，数字认证快速拉升涨超15%，人民网、数字政通、铜牛信息等跟涨。。资金这么玩，多少散户成了刀下的韭菜啊！人民网从-4%到4%就那么几分钟。。今日看盘
1701316322# #所以现在还不是买房的时候
1695014129# #Nábrók。人皮褲子。。冰島語叫作「死靈褲」，由人皮製成，巫師和女巫會日夜把這條褲子穿在衣服下面，作為一種內衣，以求為自己帶來財富。。。這是巫師朋友之間禮貌地被獲准在其死後使用的，屬於一種巫術能量的傳承與祝福，這在17世紀冰島的巫師世界中是一種莫大的榮幸。。。人皮褲是從人體腰部以下將皮切下，
1695697981# #现在年轻人掉发太严重了，对我有效，我无副作用，建议你们试用。
1693047190# #日本国内超市停买水产品让日企心态崩了日本超市也停买，日企心态崩了。。美国儿子小日本作死自己人都不支持。。韩国《中央日报》也在日本一家海鲜餐厅遇到一位特地带着孩子赶在排海前吃海鲜的年轻母亲，“暂时不想给孩子们吃水产品了，所以抱着‘今天是最后一天能吃’的心态来的。”。我也是抱着‘今天
1686882271# #早盘好多异动没涨停的，基本都是钓鱼线。。姜太公钓鱼，人家是愿者上钩，这个股市人家是割韭菜啊！。千万别追涨。
1688426533# #股票超话【昨日能影响股市的重要信息】商务部、海关总署：对镓、锗相关物项实施出口管制。。我国正积极打造绿氢产业链潜在产业规模将达10万亿元。。浙江电网用电负荷创历史新高。。今日看盘
1689634254# #恒大集团负债总额2.58万亿。恒大早已是债多了不愁，虱子多了不痒。
1701657551# #黄金价格已经出现暴涨暴跌阶段了。
1692683682# #低迷的结婚率、生育率，从这个意义上讲，这次碧桂园其实就是跟年轻人对赌失败了，它在二三线屯了无数的地，如果小镇青年们踊跃购买，它的资产也能扛得住债务，也不会出现这么大滩的事情！！！
1689517344# #湖南通报微信群不雅信息事件说是微信号被人盗用。。网络安全事件一定要重点抓！。政府单位的信息安全的重要性，不需要强调了！。算病毒入侵还是小事，要是盗号黑客入侵会是什么后果呢？
1693532095# #今天港股暂停交易，利于A股，没有北向资金砸盘。。今天台风苏拉阻挡了北向资金，A股还下跌，你猜谁背锅？
1687735051# #雨哥看盘超话。我国夏季“热浪”较往年更加猛烈。。用电负荷再创新高目前南方电网今年最高负荷达2.22亿千瓦，接近历史最高。。。A股相关是AI+电力，还是虚拟电厂？。。发输变配用及调度全环节覆盖的电力智能化龙头：国电南瑞；。风光发电功率预测龙头：国能日新；。输变电线路智能运维和智能巡检：亿嘉和、
1698103449# #今日接单，奶茶果汁代喝，冰淇淋代吃，水果捞代吃，别的暂时不想吃，不接
1699027188# #余承东炮轰车企一把手不懂AEB“一些人根本就没有搞懂AEB是何物！跟有人说智能驾驶就是扯淡/忽悠，几乎如出一辙！对行业技术进展与未来发展，缺乏基本认知！”。。主动刹车系统（AEB）：全称为AutonomousEmergencyBraking，AEB系统采用雷达和摄像头测出与前车或者其他障碍物的距离，系统控制模块将测
1696898492# #【一带一路】一带一路龙头贝肯能源4连板了！今年是“一带一路”倡议提出10周年。。普京将在北京参加一带一路国际论坛。。国新办将发布一带一路白皮书，A股相关企业有望受政策利好催化。
1701396351# #今天A股主力资金主动流出的偏少了，十二月你好给个面子吗？
1701991136# #理由少一点，肚量大一点，嘴巴甜一点，脾气小一点，行动快一点，效率高一点，微笑露一点，脑筋活一点，平时干净一点，病毒离你就会远一点！
1691650257# #信达证券，卖的位置挺高的吧！！！
1702100630# #南昌20死19伤重大交通事故调查报告货车超限超载超速，送葬队伍占道烧纸形成烟雾影响行车视线。。货车撞进送殡队伍致20死19伤！
1695706592# #【各位老板，一起来薅羊毛】薅点国债逆回购的羊毛，赚点奶茶钱。。安全第一！。国债逆回购明天可能可以出现5以上的利息。
1698623133# #雨哥看盘超话♥☻ᎻᎬᏞᏞᎾ人生如同坐火车，风景再美也会后退，流逝的时间和邂逅的人终会渐行渐远，前行的始终是自己。早安！厦门海边是浪漫代名词
1698659477# #网友裸辞炒股5个月亏损48%千万别看轻生命，好好活着，。因为你还会继续见证A股奇迹继续亏的。
1687436235# #英雄会美国卡车司机擎天柱汽车文化第一视角就想知道他们的排放标准是国几的？。排放全都不达标，都给我强制报废。
