1697630857# #外媒称浸信会医院遭袭已致至少500人死亡看着真惨。。。
1697119116# #美国总统拜登星期三（10月11日）向一批犹太社群领袖发表谈话，表示美国将对以色列提供更多军事援助，派遣航母舰队到地中海东部，并警告伊朗勿插手以色列与哈马斯的冲突。
1696419621# #一边写着“挤爆”，一边写着“躺平”，三立小编这一天天的生活在矛盾中，不痛苦吗？
1703158156# #哈马斯发布视频"地下狙击手工厂"
1703849193# #昨日22架解放军飞机和4艘解放军舰艇台湾省周边巡航
1700653700# #郭正亮：加拿大军机闯南海，它就是美国的爪牙和附庸台湾
1695125564# #昨日55架解放军飞机和7艘解放军舰艇台湾省周边演训
1694517507# #王宝强前经纪人宋喆已出狱原来离那件事已经过去6年了……
1694193351# #朔尔茨为德车企打气：不要被中国汽车吓倒
1699537918# #今天傍晚，一则“萧山某培训机构老师殴打学生”的视频在网上流传。。视频画面显示，一教室内，坐在讲台边的男老师，先是拿书猛砸一位坐在第一排的男生，之后走上前敲打该男生的头部，脚踹其腹部，最后甚至将男生抱摔在地……。今晚7点38分，网络流传“培训机构一老师殴打学生”
1697248924# #今天，以色列空袭袭击了按照以色列国防军的命令逃往南部的民用汽车车队。尸体遍布各处。据报道有70名平民死亡
1695563075# #台湾省马祖的台军抱怨每天早上都只能吃罐头和馒头，根本吃不饱。
1696695480# #巴勒斯坦俘获以色列将军尼姆罗德·阿洛尼。
1700821546# #大陆盾构机世界第一，台主持人感叹：这就是中国人的智慧和决心台湾
1697557987# #比亚迪车主强插特斯拉未果，疑似故意开车撞击追尾！
1697341181# #福克斯报道称：疫情期间，拜登政府从美国救援计划（一项旨在抗击新冠肺炎的支出法案）中向一个被称为“实际上是哈马斯分支”的巴勒斯坦救援组织拨款3370万美元
1694958428# #意大利米兰，请为泽连斯基捐款
1697556279# #印度，孟买至果阿邦四车道高速公路的部分在建桥梁倒塌，伤情不明
1693623999# #台湾省空军编列5亿预算生产集束炸弹“万剑弹”
1697793239# #哈马斯展示用水管制造导弹巴以冲突
1703839748# #赵少康：当选会推动金门厦门大桥修建
1694347997# #分享视频
1696314324# #台舰长：日本都不敢说的大话，台湾敢笑cry
1703839250# #绿营支持者为赖清德演讲排练台湾
1696861329# #肉眼可见的天赋
1703168073# #要对话了？中止对台湾地区部分产品关税减让
1697822443# #支持哈马斯的移民与德国警察在柏林发生冲突。
1703407795# #这个女婿可以要😅。23日，四川广安，女孩在幼儿园收到男同学送的礼物，妈妈看到后大惊失色：里面竟然是两根金条。。。。对方家长曾跟孩子开玩笑是给未来媳妇的，没想到儿子提前给送出去了。。后来女孩妈妈把金条还给对方家长。
1696848852# #美国将向东地中海重新部署福特航母战斗群
1693988076# #蔡英文抵达斯威士兰王国，送斯威士兰国王五头牛。
1694326983# #要改舔赖了，舔菜没营养了
1694002197# #老太太霸占邻居家的地种菜不说，还盯上了房子
1700753831# #中国又一黑科技“超深水打桩锤”！蔡正元：南海资源全都是中国的台湾
1696579960# #爆打二哈
1693921663# #男子做完胃镜嘴里不停念叨“华为mate60pro遥遥领先”允悲
1697874813# #张忠谋继续代表台湾省出席APEC
1701695931# #刺针导弹筒流入黑市，谢寒冰：台军一直在盗卖军事装备台湾
1697908209# #印度人支持巴勒斯坦却拿错国旗在印度喀拉拉邦，他们举行了支持巴勒斯坦的示威活动，但他们拿了意大利的旗帜而不是巴勒斯坦的旗帜二哈
1696398233# #猪油时报：日本棒球选手说大陆食物没有台湾的好吃喵喵
1694693617# #随地大小便的呆弯人没法推给陆客了
1696867912# #今天来自加沙的视频衰，战争的残酷巴以本轮冲突双方伤亡人数已超6000
1697891058# #联合国秘书长在巴勒斯坦峰会上：是时候结束这场噩梦了。。哈马斯对以色列的袭击不能成为以色列军队在加沙地带行动的借口。。古特雷斯表示，“真正和平与安全的唯一现实基础”可能是建立巴勒斯坦国。。他还表示，联合国正在竭尽全力确保向加沙地带持续提供人道主义援助。
1697894683# #两名巴勒斯坦小女孩刚刚从加沙被以色列战机轰炸的废墟下生还。巴以冲突
1699461617# #从埃及运往加沙的人道主义援助物资的卡车遭遇轰炸
1695661620# #杭州亚运会女子长拳决赛现场网友拍到马保国看台展示“真功夫”
1693991428# #日本“真干净”日本人真有“素质”。。。
1697215854# #半岛电视台和路透社、法新社记者组成的团队在黎巴嫩南部遭到以色列炮击，路透社记者伊萨姆·阿卜杜拉被杀，法新社、半岛电视台和路透社的另外五名记者均不同程度受伤。
1701188093# #台媒：美军航母上的阻拦索竟然都是“中国制造”台湾
1694785718# #日媒：美国正在帮日本介绍中国以外的扇贝加工地区。每年向外出口的日本扇贝中，有很大一部分是运往中国脱壳加工后，再卖到美国的。由于中国全面禁止日本海鲜，美国亦急需扇贝（去年美国进口了1亿美元日本扇贝）。于是美国介绍台湾、泰国、越南替代中国给扇贝脱壳加工。
1701502181# #大陆汽车出口创新高各国抢购，介文汲：人才加政策造就今天的成功台湾
1702570175# #台媒：大陆海警对菲律宾公告由“管控”升级为“管制”更具强制性台湾
1703761233# #印度牛！
1703859250# #学生们拔河比赛输了，全班哭成一片。班主任：他们哭的好伤心，就算没有作业也哄不好。
1697120129# #以色列空袭加沙以后，在当地一家医院前的遇难者巴以大规模冲突进入第五天
1694332919# #关键词精准触发笑cry
1696688325# #一枚火箭袭击了以色列的一个街区
1694103423# #年轻人不同意换座位有什么错吗？
1696778306# #台湾省教育部门推出一支宣传广告片，称0-6岁“政府”帮养小孩，被骂到赶紧下架影片。
